State,Period,Coronavirus,COVID,Toilet Paper,Taste Loss,Hand Sanitizer,Fever,Zoom,Bats,Quarantine,Pandemic,Face Mask,Coronavirus Testing,Cough,Restaurants,Lockdown
North Carolina,3,40,39,54,15,42,71,54,67,24,38,16,28,75,87,41
North Dakota,0,54,0,79,0,47,75,57,42,25,59,22,67,92,57,50
North Dakota,1,92,77,47,26,81,79,62,72,59,74,35,35,76,66,42
North Dakota,2,55,52,49,44,45,50,34,61,14,22,38,34,72,66,31
North Dakota,3,86,85,33,100,48,99,46,69,72,41,0,39,100,48,28
Ohio,0,51,22,59,9,36,81,45,79,28,49,27,11,84,82,46
Ohio,1,89,57,44,22,77,78,50,83,71,83,38,46,79,89,74
Ohio,2,75,59,52,30,72,59,38,81,27,56,58,48,79,70,48
Ohio,3,87,57,55,40,51,84,45,64,42,62,16,49,82,76,47
Oklahoma,0,51,14,60,11,32,81,54,73,21,47,27,14,88,69,51
Oklahoma,1,81,70,41,30,84,81,55,79,70,80,44,40,86,79,65
Oklahoma,2,60,69,44,45,50,77,32,68,27,30,60,49,94,62,39
Oklahoma,3,46,44,38,29,43,84,41,66,31,41,0,22,74,70,34
Oregon,0,59,33,63,16,52,64,79,71,35,66,37,11,74,69,44
Oregon,1,87,77,66,20,71,74,70,68,75,88,45,54,81,76,74
Oregon,2,75,70,63,34,51,60,58,60,28,35,87,34,66,58,43
Oregon,3,66,52,45,13,44,59,72,55,29,62,13,28,66,61,79
Pennsylvania,0,49,29,60,9,44,78,56,77,31,49,35,13,86,76,34
Pennsylvania,1,91,64,46,33,82,77,63,83,66,87,43,59,82,62,57
Pennsylvania,2,71,60,55,33,65,61,48,81,51,100,56,34,71,61,43
Pennsylvania,3,62,50,53,27,52,72,56,69,55,90,20,39,75,68,62
Rhode Island,0,59,0,40,0,44,83,58,71,37,41,43,75,99,83,81
Rhode Island,1,83,65,54,30,81,69,77,65,72,85,48,56,72,76,63
Rhode Island,2,60,58,61,16,78,56,62,61,40,34,48,38,46,90,22
Rhode Island,3,77,78,55,19,70,70,63,47,63,62,0,85,99,80,58
South Carolina,0,40,15,57,20,36,73,42,79,29,48,27,0,81,88,58
South Carolina,1,78,50,53,16,80,71,44,69,55,74,35,42,78,95,49
South Carolina,2,63,69,50,61,65,76,37,58,32,38,84,69,93,97,31
South Carolina,3,39,34,48,15,43,65,41,56,22,35,17,33,72,100,34
South Dakota,0,51,100,41,100,49,79,67,85,26,46,28,66,98,50,48
South Dakota,1,84,100,46,28,95,65,71,76,46,72,46,35,77,53,35
South Dakota,2,59,61,34,39,64,55,32,96,14,24,44,15,93,74,41
South Dakota,3,74,88,28,96,46,100,48,100,52,56,0,38,96,48,33
Tennessee,0,44,29,56,12,38,79,49,66,33,37,28,27,76,83,44
Tennessee,1,83,64,51,25,82,80,48,74,68,74,35,57,85,88,64
Tennessee,2,60,64,48,56,59,75,39,61,25,38,70,51,87,79,29
Tennessee,3,39,43,43,22,41,88,42,59,32,41,16,28,80,88,31
Texas,0,56,29,45,8,41,75,53,89,38,46,37,17,79,74,64
Texas,1,76,57,51,23,80,74,59,76,72,70,40,60,78,75,74
Texas,2,72,88,54,100,63,87,49,64,35,31,75,77,94,57,80
Texas,3,39,40,43,25,50,77,57,64,24,36,12,28,72,70,46
Utah,0,60,40,37,11,46,77,69,56,40,55,34,35,92,69,46
Utah,1,84,71,53,17,67,72,58,77,69,71,33,63,80,63,63
Utah,2,78,73,53,29,49,64,47,52,26,27,66,48,68,60,49
Utah,3,92,74,52,24,27,82,76,66,38,45,16,79,83,64,39
Vermont,0,57,60,33,0,23,83,72,88,37,54,31,0,100,76,43
Vermont,1,85,90,55,29,80,78,100,84,69,100,49,33,83,64,56
Vermont,2,72,83,67,0,56,50,78,52,53,43,55,56,47,61,17
Vermont,3,87,100,41,16,41,73,74,63,69,55,0,33,83,69,67
Virginia,0,57,28,43,11,46,74,61,65,36,56,36,14,80,76,54
Virginia,1,86,62,62,27,82,73,60,75,66,83,44,58,86,71,70
